Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
205,"1321,1327,1336",1617584386.1679358,0.6468988306784834,"351648074.9850162,1219377345.3154044,46558965.86751498"
206,"1321,1327,1538",1015232434.575644,1.0232385163268871,"184621798.2746542,328393499.88786644,502217136.4131234"
207,"1321,1329,1330",644068986.6000582,0.5777485906733866,"515313503.71763164,111939453.76716153,16816029.11526506"
208,"1321,1329,1331",1203610505.3995278,0.5687491798633291,"169192251.90020064,48544098.446925685,985874155.0524014"
209,"1321,1329,1334",1592372344.0352335,0.7385167163841465,"371483838.4631735,85972785.23547857,1134915720.3365815"
210,"1321,1329,1337",1020632972.8580425,0.9066673052400924,"403498469.9375463,81282799.66123262,535851703.25926346"
211,"1321,1329,1338",1205128123.091189,0.8848344033727835,"451613965.4132452,86821884.38519084,666692273.2927527"
212,"1321,1329,1336",687982463.4074523,0.6737639032355158,"537771340.3020687,64063433.45544751,86147689.64993614"
213,"1321,1329,1538",817062143.3958945,0.7479057768703649,"199486230.73378238,43349058.394475594,574226854.2676365"
214,"1321,1330,1331",1168040909.036416,0.448682186757529,"148504632.48502716,15233959.265369248,1004302317.2860196"
215,"1321,1330,1334",1553079663.3834307,0.6101705329279139,"380576071.53137434,15591848.118453385,1156911743.733603"
216,"1321,1330,1337",997361949.50018,0.7410901968495913,"380552233.820088,16511074.359405346,600298641.3206866"
217,"1321,1330,1338",1146183215.6922495,0.7429395849077799,"450256475.54923534,18014308.01242352,677912432.1305907"
218,"1321,1330,1336",637362624.6723306,0.5505513583855794,"521226543.7243207,16981301.181520212,99154779.76648979"
219,"1321,1330,1538",781637764.7406741,0.6385587504968366,"183539714.0631921,15828912.886415906,582269137.7910662"
220,"1321,1331,1334",1329796829.767106,0.8734458939043017,"181845556.23467436,873925994.240255,274025279.29217666"
221,"1321,1331,1337",1236362234.2859595,0.697733393572225,"167000467.54975957,950484468.4926282,118877298.24357171"
222,"1321,1331,1338",1238966680.358993,0.6963333866175895,"178931490.98896888,951026062.7381108,109009126.63191353"
223,"1321,1331,1336",1203417084.7534814,0.5952868014212156,"181193054.15149722,969892815.3293769,52331215.27260742"
224,"1321,1331,1538",1021124722.2646259,0.9973448579432818,"149630831.397675,505188137.10821444,366305753.7587365"
225,"1321,1334,1337",1541257021.2997506,0.9637530746617908,"345400382.6403558,903281232.6938814,292575405.9655134"
226,"1321,1334,1338",1644146822.226993,0.9927951756749969,"370151673.56236154,917264406.4292629,356730742.23536885"
227,"1321,1334,1336",1545586391.0771465,0.7784608466820913,"382320403.82702893,1064281742.7313142,98984244.51880342"
228,"1321,1334,1538",900938350.1405598,0.9298101840971036,"185418120.85430956,159562419.0558926,555957810.2303576"
229,"1321,1337,1338",1334678688.7588956,1.0887444243176563,"358363138.9302434,494109643.3616377,482205906.46701455"
230,"1321,1337,1336",1004631887.7900084,0.9179613983622706,"415466430.9811702,505377359.52758735,83788097.2812508"
231,"1321,1337,1538",841047873.4177995,0.8556644262465711,"201516156.87341684,88202213.85765098,551329502.6867317"
232,"1321,1338,1336",1161311150.0483477,0.9026899648004483,"467387934.49775684,605043971.8047708,88879243.74582006"
233,"1321,1338,1538",829541614.6499448,0.7630528080571122,"215818674.82351723,43659338.7390154,570063601.0874121"
234,"1321,1336,1538",814789912.0424352,0.7089609322167765,"214644006.7680694,26254517.59859217,573891387.6757736"
235,"1323,1324,1325",1197167573.7469954,1.0574149094158727,"399007203.3118824,260250011.26310274,537910359.1720104"
236,"1323,1324,1327",1324972484.6128511,1.0591584165120542,"372231674.05395365,332963335.0673994,619777475.491498"
237,"1323,1324,1329",1199868967.5881808,0.9435531900324339,"624442782.3198577,450200286.3466433,125225898.92167968"
238,"1323,1324,1330",1121699584.9263694,0.7579143484777374,"635896143.2042111,466013576.74572176,19789864.976436567"
239,"1323,1324,1331",1151788656.2947078,0.8688789569768616,"258178479.42020088,139976845.53257558,753633331.3419313"
240,"1323,1324,1334",1439571585.8965116,1.0803753328599792,"504070091.7095857,359365024.1229867,576136470.063939"
241,"1323,1324,1337",1204502405.4573007,1.0299499014080276,"570003341.029238,417752549.267135,216746515.16092777"
242,"1323,1324,1338",1188149564.6611395,0.9471547002324271,"596997422.7649703,468520928.82956046,122631213.06660855"
243,"1323,1324,1336",1135483823.3324423,0.8376286287682296,"620171521.496874,463148434.53429836,52163867.301270075"
244,"1323,1324,1538",844713528.0914271,1.0105650195029134,"147861688.80375645,263006917.9816516,433844921.30601907"
245,"1323,1325,1327",1484515731.39264,1.0617659192859814,"312660486.77914697,597874207.5455333,573981037.0679598"
246,"1323,1325,1329",1393783635.479805,0.905002416870538,"458284709.4259274,804633889.0647461,130865036.98913155"
247,"1323,1325,1330",1312591473.2121365,0.7214461696993347,"464798222.9780179,828023326.838949,19769923.395169437"
