Idx,Subcommunity species,Fitness,Shannon diversity sim,End abundance
80,"1319,1331,1538",957531270.9398729,0.9355008190605472,"110281029.49473147,542000427.0666602,305249814.37848127"
81,"1319,1334,1337",1401039342.2379742,0.917738919338498,"596881083.625407,689137411.9678962,115020846.64467102"
82,"1319,1334,1338",1435564251.4324918,1.0176389016498761,"598019143.8748823,614001929.2737899,223543178.2838198"
83,"1319,1334,1336",1392300819.0831084,0.8290228648782343,"590866651.6433924,744601528.32193,56832639.11778596"
84,"1319,1334,1538",853953301.3907048,0.9728203755661684,"163678801.78720722,197766827.48290637,492507672.12059116"
85,"1319,1337,1338",1148882870.3169005,1.0151645173596984,"601231007.5966913,226008078.89210492,321643783.8281042"
86,"1319,1337,1336",881834964.941527,0.7695008516993455,"614830877.9719878,210478598.60899448,56525488.36054471"
87,"1319,1337,1538",751649065.3155305,0.8946353992454732,"160841721.5442637,108808990.4691186,481998353.3021482"
88,"1319,1338,1336",1031063204.1396995,0.8205449110867085,"646352467.4691426,325669402.9037116,59041333.766845234"
89,"1319,1338,1538",709439869.9157485,0.7506517500371305,"177010397.0684529,36860807.71314066,495568665.1341549"
90,"1319,1336,1538",703970654.8403616,0.7310590039787122,"173556187.80670592,32221631.487898033,498192835.5457577"
91,"1320,1321,1323",1656638840.3064165,0.9340188415158479,"638354448.4520496,160099599.29608807,858184792.5582787"
92,"1320,1321,1324",1261430094.0147538,0.9817492953551232,"643054435.1280923,170656811.43475845,447718847.45190316"
93,"1320,1321,1325",1527103230.0319304,0.9304645847553804,"529829727.8051773,157546829.61465237,839726672.6121008"
94,"1320,1321,1327",1587312038.6510668,0.9520309648367336,"670525261.4891661,163669127.5777013,753117649.5841994"
95,"1320,1321,1329",1328306672.6624305,0.5803754424267474,"1073190405.8598939,208631094.18168384,46485172.620852664"
96,"1320,1321,1330",1309860629.351692,0.5076109024568127,"1079192629.7245,215759360.95385718,14908638.67333478"
97,"1320,1321,1331",1293515840.2546835,0.8771515319603878,"381178276.64615476,117473721.05898191,794863842.549547"
98,"1320,1321,1334",1531559518.2442913,0.9489299917144034,"871418967.9776143,201771402.14328834,458369148.12338877"
99,"1320,1321,1337",1317560596.2682276,0.7186714071416653,"993476115.7629873,207229691.4051474,116854789.10009298"
100,"1320,1321,1338",1519017919.2952228,0.862154479164149,"1006958068.1892188,192169254.639473,319890596.466531"
101,"1320,1321,1336",1312165111.6074414,0.6054858791467372,"1042679773.0839881,220185180.98308843,49300157.54036488"
102,"1320,1321,1538",946704784.1368296,0.9930618622731049,"328183806.02951324,138685993.848347,479834984.2589693"
103,"1320,1323,1324",1408484416.7251883,1.0148056176305098,"738863621.5414639,390755554.0421518,278865241.1415725"
104,"1320,1323,1325",1545305668.4836159,1.0475326157654514,"702667051.1484462,309398744.855434,533239872.4797357"
105,"1320,1323,1327",1605495965.489365,1.0866416858592773,"644111991.8324742,442294699.1324707,519089274.52442026"
106,"1320,1323,1329",1610716348.6271298,0.8106962539038292,"843145697.170737,715215010.9933584,52355640.463034354"
107,"1320,1323,1330",1594383000.89399,0.7416293079437891,"810962138.5741724,767564300.141948,15856562.17786971"
108,"1320,1323,1331",1340615046.5890782,1.0279046237665175,"422203245.93113345,255321117.93111458,663090682.7268301"
109,"1320,1323,1334",1691386233.233195,1.0515843882345857,"696291064.6617507,664265242.9793032,330829925.59214115"
110,"1320,1323,1337",1598068988.7957792,0.8659517084062527,"819337148.9883993,689772243.706082,88959596.10129796"
111,"1320,1323,1338",1612545716.8570657,0.8829621752470147,"880010851.00919,620805448.419161,111729417.42871466"
112,"1320,1323,1336",1595324999.0607023,0.7878400509676852,"869035135.4398679,685364092.5400156,40925771.0808189"
113,"1320,1323,1538",1077135395.6753635,1.0462671393320906,"469661386.8639742,206219030.58526543,401254978.226124"
114,"1320,1324,1325",1388753023.960358,0.9914699355292556,"705122957.4696975,201435518.36847854,482194548.12218195"
115,"1320,1324,1327",1380905974.004151,1.0549531358198263,"609616571.4560463,287007454.3544386,484281948.19366616"
