,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
citric acid,-4.431288079536311,-2.5142625073439295,-1.7745000846591892,-3.5202575025601703,-4.545019428837925,-4.443615120443548,-2.011222947829558,-1.4579636897298682,-3.067424379002374,-1.6418174492712025,-1.7571273454887697,-2.1931718300905807,-4.623210710088545,-2.61488633050634,-3.564063326599296
pyruvic acid,-1.8025995587035026,-1.9882301657995536,-1.8970310524810667,-2.817422368603062,-2.0553951606579193,-2.434657565410547,-2.57648660188443,-0.9540567724197992,-3.3293508844128312,-2.410698074215805,-2.5595222280223444,-2.207278078867073,-2.782212431570597,-2.8366090913952533,-2.5875127055414806
alpha-ketoglutaric acid,-2.968194472039826,-1.8778457124842651,-1.9318198044890371,-2.8963836361485935,-3.4734443508465818,-3.7759122230525124,-4.186632150063161,-1.2558892240405923,-0.9079168557614918,-2.5442261446610974,-4.471692574937395,-4.088637926727769,-3.5462319513256557,-3.3649301991641614,-2.9296809271749082
citrulline,-3.6566967240524,3.9484714963321945,-3.231769142751353,-4.372001933044768,-3.769117889026651,-3.548713405318739,-4.118754984277745,-3.637831701484614,-4.048725915112204,-4.581716577723892,-3.9456484243747907,-2.248153306899567,-3.3278760638337057,-3.2879863206451656,-3.803762552071741
succinic acid,-4.254741457777866,-2.3571788007511265,-1.7186643844165193,-3.3988339928433855,-4.2822778987904755,-3.4102850359049146,-1.7661241790697488,-4.0217758020250995,-0.9226090978257144,-3.4925155512743595,-3.1448165135590624,-3.29900247075192,-3.6428246572375778,-2.5731059817704613,-4.087098633958027
alanine,-1.8225635014392612,-2.2573863095608706,-2.327198915646884,-3.1216686598824213,-2.4637767078704145,-2.0225129465652936,-3.5033355850997587,-3.0554696508163435,-1.0003358804951465,-1.6393772674001625,-2.0269018960913248,-2.141418840244604,-4.417305667990896,-2.8579627651298316,-2.5471548512457405
arginine,-1.999883334988683,-2.0852071362338442,-5.322950160885199,-1.8666812605722813,-2.3444148817337345,-1.798075395471849,-2.148771466504333,-3.1959603391601603,-4.236370016186627,-2.1011540885449302,-1.9653864521741418,-1.8718070569737792,-3.3655638700818016,-2.1705950729345145,-1.9514437428676543
asparagine,-2.2543504710611537,-1.0751847164753112,-1.6220841095641396,-2.729311269780178,-2.9256973027213307,-2.4350966415666275,-3.4136016761273718,-3.2443177065102367,-0.7517373751066088,-1.571139736467087,-1.305829586929928,-2.2009805068782886,-1.6068813875139172,-3.2615973102823688,-2.047223771289964
aspartic acid,-2.531372689169631,-1.6064849566358037,-1.668568995401831,-2.4135271962101212,-2.39950821402497,-2.713551394447663,-3.6744525445422913,-3.0142758198044577,-1.8960542070579338,-1.815746818923734,-2.055976632949612,-1.8509259126898394,-3.197924483733903,-3.4156808681730286,-1.681893758649057
glutamic acid,-2.9484293779016255,-1.5782968644079418,-2.040923535217424,-2.9367982993099337,-2.797355499638529,-3.0949730002511844,-3.3426769968641,-3.0606659304975703,-0.8691802439407987,-2.058766628772047,-1.4794940484833663,-2.026005569682515,-4.395817341948887,-1.0361212816779197,-4.101558832587114
