,1319,1320,1321,1323,1324,1325,1327,1329,1330,1331,1334,1337,1338,1336,1538
tyrosine,-1.8379984686142333e-11,-7.064547054290533e-12,-1.726310477144026e-11,-2.535470352411887e-12,-4.351820092295934e-12,-3.712750557372389e-12,-4.87759519022e-13,-3.9236848620053764e-13,-2.073834442683369e-24,-3.9567740042905735e-12,-1.665810142628161e-11,-6.885580545426497e-12,-2.06273789232509e-14,-8.531171016921443e-15,-2.248597318010401e-12
valine,-1.89759612309754e-11,-8.769398419236178e-12,-1.368463754932873e-11,-1.9636269595154997e-12,-3.356237687952299e-12,-7.00326162432658e-12,-4.652546605908909e-12,-3.933733523945941e-13,-2.9454591290505677e-25,-1.4157229178169446e-11,-2.51852100550141e-11,-7.541488818183849e-12,-5.487310167833965e-18,-9.83828198655556e-13,-9.790928302952584e-12
cysteine,-9.053425664259079e-12,-3.609453473348098e-12,5.164499889879032e-11,-9.9831237017622e-12,-3.661386099335138e-12,-6.3317254990692e-12,-1.3284791152781242e-12,5.017824819360233e-13,7.497901088086674e-24,-4.426257965708399e-13,1.3115812558306727e-11,-3.233487129929118e-12,-4.179010754022706e-12,-5.8682389428920606e-15,-2.766779473176431e-13
cystine,-7.472999856833122e-12,-2.8027032398227256e-12,8.905530069055438e-11,-8.436688890946539e-12,-3.585403218183084e-12,-9.775009647872975e-12,-1.1569006306666957e-12,4.5373550853514003e-13,6.544234567453246e-26,-5.179903542101677e-13,4.470366600657815e-11,-7.110775163093661e-12,-4.7308196073340975e-12,-4.809417596919242e-13,-8.435777644527238e-13
adenine,-1.173763874369802e-11,-6.50341199976788e-11,-5.3143326030635065e-11,-1.0608061792087884e-11,-1.511850440128862e-11,-1.151158840987303e-13,-8.557233068564064e-11,-3.944258390658036e-11,-3.5333321147081714e-23,-2.6927799223066255e-11,-5.148394892472805e-11,-5.2359806828918096e-12,-3.8775378887665376e-12,-5.572785552101428e-11,-2.0752151324201635e-11
adenosine,-8.427749423210309e-11,-2.1548074284289364e-11,-8.181443010304827e-12,-1.9662826992172797e-11,-5.292036395535841e-12,-3.8992415017937435e-11,-8.150326166202726e-11,-1.5183411756350738e-12,-1.8562506300535404e-19,-3.78534673099493e-12,3.4784283535998428e-12,-1.8605669963242926e-11,-4.752753757271675e-12,-2.951069626876197e-11,-3.803116090764215e-11
cytidine,-7.1321959585402e-11,-1.591359223811727e-11,-3.206353356762592e-10,-1.1037066105754344e-11,-4.924115024503087e-12,-1.2413231311905604e-11,-4.650064330421084e-11,-8.699072664788218e-12,-7.837055223870339e-27,-1.0100786104545499e-13,2.060743761613321e-09,-1.2583309776800383e-11,-3.4217550019403748e-12,-2.6952782353672882e-11,-6.343207479549581e-11
cytosine,-6.865273018209305e-13,-7.05504793232436e-13,-6.572512658592708e-12,-2.0289328231274999e-13,-2.530817062410152e-14,-3.788966279575409e-14,-3.859688034945194e-12,-9.372594403974994e-13,-5.384653854420779e-28,-3.67123935201072e-13,-4.699933686315503e-11,-2.0803759273014803e-14,-3.198561423827119e-16,-2.684333189955825e-13,-2.68366490021166e-14
guanine,-2.365361643950788e-11,-2.4358543549835144e-11,-4.3449170783300705e-11,-2.340914954494493e-12,-1.1893424836510336e-12,-5.867638561952004e-13,-1.802923045883169e-10,-1.688384263826649e-11,-8.7838676251841e-25,-2.650261784999642e-11,-3.5635590047642986e-11,-1.1215514595310963e-14,-7.431205288255449e-12,-3.5550988691663385e-17,-5.87242002196158e-14
guanosine,-5.501321464088592e-11,-2.174326619347539e-11,-6.455241070127444e-13,-1.4217186950021127e-11,-3.333233914034066e-12,-2.9725523319970416e-11,-4.1556919510381115e-11,-1.2063515177146098e-11,-7.581152055210751e-24,-1.250291036351671e-13,-1.3701493142739763e-14,-1.046774534512436e-11,-5.4377645362523154e-12,-3.132560413635695e-11,-8.08030043335947e-11
hypoxanthine,-1.1923509801713509e-11,-1.6095370499146958e-11,-8.407727588080458e-11,-2.7127166760534386e-12,-2.6394846765595677e-12,-5.473368422623297e-13,-3.6563865753838355e-11,-4.559579126733549e-12,-2.2401252423593778e-29,-2.544979663512901e-11,-4.7701770288373445e-11,-1.41288313131036e-13,-2.484850163942847e-12,-5.436535162492306e-17,-3.7929959726848097e-13
inosine,-4.438456773685672e-11,-1.6134611696773795e-11,-1.1891780587888188e-14,-1.030799599868935e-11,-3.305629116230535e-12,-6.5068986680018486e-12,-6.057857424859425e-11,-7.735938308975386e-12,-2.8097088528778505e-25,-2.567323369703406e-13,6.158480966026964e-10,-1.4412585395868748e-11,-4.922414743625497e-12,-2.4385281487731143e-11,-5.6578990785970673e-11
thymine,-4.61343436051577e-13,-1.6546729636529373e-12,-3.109745251812482e-13,-6.66144722527068e-13,-6.686639282368954e-13,-6.070697425570357e-14,-6.852964732411768e-12,-4.602279342964099e-13,-3.741690410206629e-27,-1.3146973789536014e-13,-1.0383039514848563e-10,-5.8992009452911616e-12,-6.235257533280867e-17,-3.4185242737292405e-17,-2.3961318633693397e-13
uracil,-2.3824375496804626e-12,-2.7850673576111002e-11,-3.3702950316758935e-11,-8.821463279526722e-12,-4.486205528195083e-13,-1.019776739558291e-14,-1.169968269934719e-11,-2.0160356041465761e-13,-4.062830977040451e-20,-3.148775723258424e-11,-5.644260300445788e-11,-1.0044878038201109e-11,-1.7115557500107627e-15,-2.787471904577073e-17,-4.591115793046133e-12
uridine,-4.1937908675406496e-11,-1.2259922396157048e-11,-8.203394177455043e-13,-2.9594706774414936e-11,-3.023278450712019e-12,-1.6170217373878538e-11,-4.163182987712059e-11,-7.550811868316628e-12,-2.328349194380073e-24,-2.1676118809838831e-13,-1.0203881361760944e-13,-7.415054248914017e-12,-5.105777315089485e-12,-1.6493023191706726e-11,-4.432197336331264e-11
xanthine,-6.352454589760934e-12,-3.771778852981106e-12,-4.2667538778008087e-10,-8.502178534588072e-14,-4.640664958958648e-13,-4.675412895232229e-14,-1.7093394304849486e-11,-2.545399339737808e-12,-4.055614651029132e-25,-3.063450891446378e-13,-6.064565905454465e-14,-1.2840951270310511e-14,-7.879213670904435e-16,-1.0177445715496054e-14,-4.50739052606171e-13
xanthosine,-9.16542487150162e-12,-5.698768292803396e-12,-5.857210545311603e-13,-3.16449617519434e-14,-1.943753932735151e-13,-9.435102584841472e-14,-1.6421355822890185e-11,-8.806797472526446e-14,-1.0350679482281341e-24,-1.6231152849486385e-13,1.6165549403584151e-09,-7.709413438527085e-12,-1.1794635352774846e-11,-2.052886173773896e-14,-3.78172861732964e-11
