,Lysobacter,Burkholderia,Variovarax,Chitinophaga,Niastella,Mucilaginibacter,Rhizobium,Bosea,Methylobacterium,Arthrobacter,Rhodococcus,Brevibacillus,Paenibacillus,Marmoricola,Bacillus
pyruvic acid,-0.991995710113089,-0.9972883365912514,-0.9854715884113051,-0.9932573496222805,-0.9924121222863624,-0.9696803627976677,-0.9850937051587582,-0.9517208616362012,-0.9896728101063961,-0.9991700157408852,-0.9822778231169443,-0.9543583310883621,-0.2060255416484773,-0.17127878228232696,-0.9854086992398876
alpha-ketoglutaric acid,-0.9844141410533904,-0.9999945899650522,-0.9995709474255449,-0.9738838319358313,-0.5746453426568577,-0.34130794936279785,0.9663021285033211,-0.8117496534473729,-0.9991226932349936,-0.9999804035540321,0.16221121803759608,-0.13209334198813205,0.22502770778711545,-0.289039902130128,-0.6614458525749917
citrulline,-0.3863514016153671,-0.9992140590349544,-0.16174798493402653,-0.2813068977180593,-0.6206224301001213,-0.46667790360563777,-0.09364634959919316,0.20324911264736212,0.3648528284308479,-0.09690188973788849,-0.11670879514317445,-0.9999977721673525,0.006607925895323108,-0.2532221467459115,-0.2390192486063274
succinic acid,-0.09428982957290932,-0.9866021682223024,-0.999998809346629,-0.7570107939567474,-0.21632086178054877,-0.28788598047082303,-0.8010892912101213,-0.04792379818425352,-0.9227391645584467,-0.38479148920970374,-0.6061678195144421,-0.35353012256171246,0.306505949455675,-0.04191313165455468,0.012326113752421097
alanine,-0.9999010903450389,-0.9999236275839963,-0.999964135890137,-0.9935808283790862,-0.9981074733745388,-0.9981924930091153,-0.7795094873208228,0.02083534001567089,-0.9983852797631918,-0.9542837390759629,-0.9972190743440397,-0.9983906002928029,0.5580977483961642,-0.15541880307281053,-0.8324641725863722
arginine,-0.9999941237000539,-0.9998080932654361,1.4774211448053665,-0.9999944416553829,-0.9999941237000539,-0.9997039622922416,-0.9997234510410128,0.08197233666669224,0.2334884981513472,-0.9999407276950256,-0.9999890324031233,-0.9994128456975166,0.29710277899867554,-0.19893526634966974,-0.9999878181443866
asparagine,-0.9999906953315897,-0.9999906953315897,-0.9991934411967278,-0.9967192404389544,-0.9988712041517989,-0.9358271441974471,-0.20403652798810534,-0.0015104097439553321,-0.9995921905380741,-0.9999697918051209,-0.9999697995831632,-0.9999731569566431,-0.9181032579088308,-0.027698068890636973,-0.9990927883697154
aspartic acid,-0.9157506884630534,-0.9984093427516878,-0.9999950163650114,-0.9947671159503525,-0.9991773358404602,-0.7533854784248964,-0.5327143178149216,0.07724634232339556,-0.9999953658187033,-0.9998413459801377,-0.9999425283409396,-0.9893267889829556,0.46323643269510173,-0.13807193079554003,-0.9908875925450357
glutamic acid,-0.757223172936736,-0.9987759865353736,-0.9992083654485604,-0.9521015870393706,-0.9894469564547653,-0.37444418081832787,-0.9905341811505195,-0.01878219058775743,-0.9999971230882216,-0.9702845766215987,-0.998339852733903,-0.983192044483694,0.9766575203503822,-0.694654268311623,0.09101379957505973
glutamine,-0.9997203378186451,-0.9999957846332895,-0.9999876397404592,-0.9995324242095521,-0.9994198791256241,-0.9995781260996179,-0.9993594476284632,-0.07107149235919663,-0.9999868248911166,-0.9995153295028889,-0.9997204197451998,-0.9994209825642634,-0.9983508320957405,-0.030757370807590334,-0.9999301745502607
