species,metabolite,metabolite_class,time,median_val,median_usage
Rhodococcus,gamma-Aminobutyric acid,Others,19.5,0.00022512737484076836,-0.9997748726251592
Rhodococcus,gamma-Aminobutyric acid,Others,29.5,0.00048539594642732975,-0.9995146040535726
Rhodococcus,ectoine,Others,10.0,1.0460684564819949,0.04606845648199487
Rhodococcus,ectoine,Others,12.5,0.8959298940986752,-0.10407010590132482
Rhodococcus,ectoine,Others,19.5,0.8556728395692609,-0.14432716043073912
Rhodococcus,ectoine,Others,29.5,0.8553691483236335,-0.14463085167636647
Rhodococcus,N-acetyl-glutamic acid,Others,10.0,1.1268094566979048,0.12680945669790478
Rhodococcus,N-acetyl-glutamic acid,Others,12.5,0.838663931784074,-0.16133606821592605
Rhodococcus,N-acetyl-glutamic acid,Others,19.5,0.951532420107236,-0.04846757989276396
Rhodococcus,N-acetyl-glutamic acid,Others,29.5,0.8558302242817136,-0.14416977571828637
Rhodococcus,ornithine,Others,10.0,7.117657203037362,6.117657203037362
Rhodococcus,ornithine,Others,12.5,1.9310009514570101,0.9310009514570101
Rhodococcus,ornithine,Others,19.5,0.9063105430440102,-0.09368945695598985
Rhodococcus,ornithine,Others,29.5,1.0371396732338076,0.037139673233807624
Rhodococcus,shikimic acid,Others,10.0,0.7620574748829765,-0.23794252511702352
Rhodococcus,shikimic acid,Others,12.5,0.48240493880569857,-0.5175950611943014
Rhodococcus,shikimic acid,Others,19.5,0.4602282294398661,-0.5397717705601339
Rhodococcus,shikimic acid,Others,29.5,0.48717498842370954,-0.5128250115762905
Rhodococcus,taurine,Others,10.0,1.070716622595028,0.07071662259502798
Rhodococcus,taurine,Others,12.5,0.6155013116000514,-0.3844986883999486
Rhodococcus,taurine,Others,19.5,0.47859729308887256,-0.5214027069111274
Rhodococcus,taurine,Others,29.5,0.643204548760255,-0.356795451239745
Rhodococcus,N-acetylglutamine,Others,10.0,1.13439448519354,0.13439448519353991
Rhodococcus,N-acetylglutamine,Others,12.5,0.7328557721440148,-0.26714422785598524
Rhodococcus,N-acetylglutamine,Others,19.5,0.5581665731514995,-0.44183342684850047
Rhodococcus,N-acetylglutamine,Others,29.5,0.5622298390800354,-0.43777016091996457
Rhodococcus,n-acetyllysine,Others,10.0,1.16559132359541,0.16559132359541007
Rhodococcus,n-acetyllysine,Others,12.5,0.7760142117380983,-0.22398578826190174
Rhodococcus,n-acetyllysine,Others,19.5,0.8354423220850455,-0.16455767791495446
Rhodococcus,n-acetyllysine,Others,29.5,0.7627268257427792,-0.23727317425722083
Rhodococcus,n-acetylmuramic acid,Others,10.0,1.3498477985937511,0.34984779859375115
Rhodococcus,n-acetylmuramic acid,Others,12.5,0.6322184696434773,-0.3677815303565227
Rhodococcus,n-acetylmuramic acid,Others,19.5,0.6106228401425433,-0.3893771598574567
Rhodococcus,n-acetylmuramic acid,Others,29.5,0.49266793572858775,-0.5073320642714123
Rhodococcus,betaine,Others,10.0,0.7826071173120309,-0.21739288268796908
Rhodococcus,betaine,Others,12.5,0.44935351766103826,-0.5506464823389617
Rhodococcus,betaine,Others,19.5,0.0244968506615418,-0.9755031493384582
Rhodococcus,betaine,Others,29.5,0.01349619141184193,-0.9865038085881581
Rhodococcus,nicotinamide,Others,10.0,0.005664789333714634,-0.9943352106662854
Rhodococcus,nicotinamide,Others,12.5,0.004941876864298225,-0.9950581231357017
Rhodococcus,nicotinamide,Others,19.5,0.01007239490659734,-0.9899276050934026
Rhodococcus,nicotinamide,Others,29.5,0.013665442962412207,-0.9863345570375878
Rhodococcus,trigonelline,Others,10.0,0.811385515955225,-0.188614484044775
Rhodococcus,trigonelline,Others,12.5,0.84288352286615,-0.15711647713385002
Rhodococcus,trigonelline,Others,19.5,0.5626025891281937,-0.4373974108718063
Rhodococcus,trigonelline,Others,29.5,0.5470739399115175,-0.45292606008848246
Rhodococcus,carnitine,Others,10.0,0.9550675514761231,-0.0449324485238769
Rhodococcus,carnitine,Others,12.5,0.724127931554345,-0.27587206844565504
Rhodococcus,carnitine,Others,19.5,0.6671121385389862,-0.3328878614610138
Rhodococcus,carnitine,Others,29.5,0.6657314762033624,-0.33426852379663763
Rhodococcus,choline,Others,10.0,1.0844212735842484,0.08442127358424845
Rhodococcus,choline,Others,12.5,0.9462132625250123,-0.053786737474987745
Rhodococcus,choline,Others,19.5,0.8987160885308707,-0.1012839114691293
Rhodococcus,choline,Others,29.5,0.9000791439618112,-0.09992085603818879
Rhodococcus,sn-glycero-3-phosphocholine,Others,10.0,1.0833945803363692,0.08339458033636915
Rhodococcus,sn-glycero-3-phosphocholine,Others,12.5,0.8801115815283854,-0.11988841847161458
Rhodococcus,sn-glycero-3-phosphocholine,Others,19.5,0.829738577361708,-0.17026142263829203
Rhodococcus,sn-glycero-3-phosphocholine,Others,29.5,0.7668096379645999,-0.2331903620354001
Brevibacillus,sucrose,Sugar,12.5,1.0126866169093252,0.012686616909325155
Brevibacillus,sucrose,Sugar,19.5,0.9274849547712052,-0.07251504522879482
Brevibacillus,sucrose,Sugar,29.0,1.1543176953327787,0.15431769533277873
Brevibacillus,sucrose,Sugar,44.5,1.0522966403174814,0.05229664031748138
Brevibacillus,trehalose,Sugar,12.5,1.0278800649171824,0.027880064917182423
Brevibacillus,trehalose,Sugar,19.5,0.9891480903677581,-0.010851909632241918
Brevibacillus,trehalose,Sugar,29.0,0.8772253082458739,-0.12277469175412614
Brevibacillus,trehalose,Sugar,44.5,0.7636634534885589,-0.2363365465114411
Brevibacillus,myo-inositol,Sugar,12.5,0.9882485571186715,-0.011751442881328455
Brevibacillus,myo-inositol,Sugar,19.5,0.7275397142330396,-0.27246028576696035
Brevibacillus,myo-inositol,Sugar,29.0,0.8823270826516196,-0.11767291734838037
Brevibacillus,myo-inositol,Sugar,44.5,0.7065974566594954,-0.29340254334050464
Brevibacillus,xylose,Sugar,12.5,0.5873659533351285,-0.41263404666487147
Brevibacillus,xylose,Sugar,19.5,1.4352336966112318,0.4352336966112318
Brevibacillus,xylose,Sugar,29.0,0.6675754473966342,-0.3324245526033658
Brevibacillus,xylose,Sugar,44.5,1.1572812665758005,0.15728126657580055
Brevibacillus,mannitol,Sugar,12.5,0.9396597172903396,-0.06034028270966041
Brevibacillus,mannitol,Sugar,19.5,1.0531132168507853,0.053113216850785294
Brevibacillus,mannitol,Sugar,29.0,0.7681159722369683,-0.23188402776303174
Brevibacillus,mannitol,Sugar,44.5,0.9700119311621154,-0.02998806883788463
Brevibacillus,N-acetyl-glucosamine,Sugar,12.5,0.8015163513061738,-0.19848364869382618
Brevibacillus,N-acetyl-glucosamine,Sugar,19.5,0.018514527456748264,-0.9814854725432517
Brevibacillus,N-acetyl-glucosamine,Sugar,29.0,0.006614261343211967,-0.993385738656788
Brevibacillus,N-acetyl-glucosamine,Sugar,44.5,0.005230622496965581,-0.9947693775030344
Brevibacillus,Glucose,Sugar,12.5,0.6841502012321399,-0.3158497987678601
Brevibacillus,Glucose,Sugar,19.5,0.9711536242586482,-0.02884637574135185
Brevibacillus,Glucose,Sugar,29.0,0.07372175673192159,-0.9262782432680784
Brevibacillus,Glucose,Sugar,44.5,0.06681948506947333,-0.9331805149305267
Brevibacillus,lactic acid,Organic_Acid,12.5,0.8688313332029318,-0.13116866679706818
Brevibacillus,lactic acid,Organic_Acid,19.5,1.1033961663882923,0.1033961663882923
Brevibacillus,lactic acid,Organic_Acid,29.0,0.9918618888555966,-0.008138111144403437
Brevibacillus,lactic acid,Organic_Acid,44.5,1.096102637616975,0.0961026376169749
Brevibacillus,malic acid,Organic_Acid,12.5,0.9615167371158656,-0.038483262884134395
Brevibacillus,malic acid,Organic_Acid,19.5,0.8362105288144848,-0.16378947118551523
Brevibacillus,malic acid,Organic_Acid,29.0,0.7067107891693275,-0.2932892108306725
Brevibacillus,malic acid,Organic_Acid,44.5,0.7474040272584002,-0.25259597274159984
Brevibacillus,citric acid,Organic_Acid,12.5,0.9584939288888394,-0.04150607111116056
Brevibacillus,citric acid,Organic_Acid,19.5,1.8241517694272164e-07,-0.999999817584823
Brevibacillus,citric acid,Organic_Acid,29.0,1.3072535808208382e-07,-0.9999998692746419
Brevibacillus,citric acid,Organic_Acid,44.5,1.9667617268167962e-07,-0.9999998033238273
Brevibacillus,pyruvic acid,Organic_Acid,12.5,0.842481979938505,-0.15751802006149496
Brevibacillus,pyruvic acid,Organic_Acid,19.5,0.034288366631226495,-0.9657116333687735
Brevibacillus,pyruvic acid,Organic_Acid,29.0,0.02369206096806855,-0.9763079390319315
Brevibacillus,pyruvic acid,Organic_Acid,44.5,0.04564166891163793,-0.9543583310883621
Brevibacillus,alpha-ketoglutaric acid,Organic_Acid,12.5,0.8264732295220365,-0.1735267704779635
Brevibacillus,alpha-ketoglutaric acid,Organic_Acid,19.5,0.9269786465002956,-0.0730213534997044
Brevibacillus,alpha-ketoglutaric acid,Organic_Acid,29.0,0.811805076673869,-0.18819492332613097
Brevibacillus,alpha-ketoglutaric acid,Organic_Acid,44.5,0.867906658011868,-0.13209334198813205
Brevibacillus,citrulline,Organic_Acid,12.5,0.9333123631206746,-0.06668763687932544
Brevibacillus,citrulline,Organic_Acid,19.5,2.2390561930335125e-06,-0.999997760943807
Brevibacillus,citrulline,Organic_Acid,29.0,2.2415656888023146e-06,-0.9999977584343112
Brevibacillus,citrulline,Organic_Acid,44.5,2.227832647439357e-06,-0.9999977721673525
Brevibacillus,succinic acid,Organic_Acid,12.5,0.9215081405312768,-0.07849185946872317
Brevibacillus,succinic acid,Organic_Acid,19.5,0.8531431590068674,-0.14685684099313256
Brevibacillus,succinic acid,Organic_Acid,29.0,0.5840356177452695,-0.41596438225473054
Brevibacillus,succinic acid,Organic_Acid,44.5,0.6464698774382875,-0.35353012256171246
Brevibacillus,alanine,Amino_Acid,12.5,0.8132871288646255,-0.1867128711353745
Brevibacillus,alanine,Amino_Acid,19.5,0.0067833856021228735,-0.9932166143978771
Brevibacillus,alanine,Amino_Acid,29.0,0.009282168394364024,-0.990717831605636
Brevibacillus,alanine,Amino_Acid,44.5,0.00160939970719712,-0.9983906002928029
Brevibacillus,arginine,Amino_Acid,12.5,0.2593515240884867,-0.7406484759115133
Brevibacillus,arginine,Amino_Acid,19.5,1.2181855613338158e-05,-0.9999878181443866
Brevibacillus,arginine,Amino_Acid,29.0,0.00036723443137876976,-0.9996327655686212
Brevibacillus,arginine,Amino_Acid,44.5,0.0005871543024833174,-0.9994128456975166
Brevibacillus,asparagine,Amino_Acid,12.5,0.9610432465794443,-0.03895675342055571
Brevibacillus,asparagine,Amino_Acid,19.5,2.8087047377231516e-05,-0.9999719129526228
Brevibacillus,asparagine,Amino_Acid,29.0,0.00023080524653297548,-0.999769194753467
Brevibacillus,asparagine,Amino_Acid,44.5,2.684304335688363e-05,-0.9999731569566431
Brevibacillus,aspartic acid,Amino_Acid,12.5,0.47245623440142115,-0.5275437655985789
Brevibacillus,aspartic acid,Amino_Acid,19.5,0.0029904080562104217,-0.9970095919437896
Brevibacillus,aspartic acid,Amino_Acid,29.0,0.008280374820176075,-0.9917196251798239
Brevibacillus,aspartic acid,Amino_Acid,44.5,0.010673211017044448,-0.9893267889829556
Brevibacillus,glutamic acid,Amino_Acid,12.5,0.597762241355501,-0.40223775864449896
Brevibacillus,glutamic acid,Amino_Acid,19.5,0.0101621614835877,-0.9898378385164123
Brevibacillus,glutamic acid,Amino_Acid,29.0,0.036876304236188824,-0.9631236957638112
Brevibacillus,glutamic acid,Amino_Acid,44.5,0.01680795551630599,-0.983192044483694
Brevibacillus,glutamine,Amino_Acid,12.5,0.5086066155474042,-0.49139338445259584
Brevibacillus,glutamine,Amino_Acid,19.5,0.0006741997970050562,-0.999325800202995
Brevibacillus,glutamine,Amino_Acid,29.0,0.0009856129826354852,-0.9990143870173646
Brevibacillus,glutamine,Amino_Acid,44.5,0.0005790174357366399,-0.9994209825642634
Brevibacillus,glycine,Amino_Acid,12.5,0.7983638896717062,-0.20163611032829376
Brevibacillus,glycine,Amino_Acid,19.5,0.00026322340525385753,-0.9997367765947461
Brevibacillus,glycine,Amino_Acid,29.0,0.0017785728772836719,-0.9982214271227163
Brevibacillus,glycine,Amino_Acid,44.5,6.615091007114531e-05,-0.9999338490899289
Brevibacillus,histidine,Amino_Acid,12.5,1.153794739721108,0.1537947397211079
Brevibacillus,histidine,Amino_Acid,19.5,2.7324233452785775e-06,-0.9999972675766547
Brevibacillus,histidine,Amino_Acid,29.0,0.0027088108480661658,-0.9972911891519338
Brevibacillus,histidine,Amino_Acid,44.5,0.0014466061108408435,-0.9985533938891592
Brevibacillus,isoleucine,Amino_Acid,12.5,0.7286446283750498,-0.27135537162495016
Brevibacillus,isoleucine,Amino_Acid,19.5,2.802771992460034e-06,-0.9999971972280075
Brevibacillus,isoleucine,Amino_Acid,29.0,0.00012060062966629074,-0.9998793993703337
Brevibacillus,isoleucine,Amino_Acid,44.5,6.300185773303976e-06,-0.9999936998142267
Brevibacillus,leucine,Amino_Acid,12.5,0.8075951802592655,-0.19240481974073453
Brevibacillus,leucine,Amino_Acid,19.5,2.4628115456605263e-06,-0.9999975371884543
