species_code,species_name,point_index,x,y,yfit,g,r_value
1324,Niastella,1,0.32795867790661076,0.3333333333333333,0.2246623955307207,0.678982923059881,0.7818789138838995
1324,Niastella,2,0.28642494907722266,0.07790143084260731,0.19646170292456633,0.678982923059881,0.7818789138838995
1324,Niastella,3,0.07479391755336928,0.023552894211576848,0.05276784653032257,0.678982923059881,0.7818789138838995
1324,Niastella,4,0.012269746980914993,0.05140334279407127,0.010315002433142966,0.678982923059881,0.7818789138838995
1325,Mucilaginibacter,0,0.0,0.0,0.014524423681997994,2.357171487495525,0.8825328597999985
1325,Mucilaginibacter,1,0.1066228410230596,0.3333333333333333,0.2658527444573223,2.357171487495525,0.8825328597999985
1325,Mucilaginibacter,2,0.07733264914755254,0.1002710027100271,0.19681073930510395,2.357171487495525,0.8825328597999985
1325,Mucilaginibacter,3,0.009517508199834808,0.05084745762711865,0.03695882264265346,2.357171487495525,0.8825328597999985
1325,Mucilaginibacter,4,0.004664643147990175,0.05521472392638037,0.025519787509781802,2.357171487495525,0.8825328597999985
1327,Rhizobium,0,0.0,0.0,0.00517706244303999,1.8170806391667393,0.803789871111713
1327,Rhizobium,1,0.1342451483550512,0.3333333333333333,0.24911132242107015,1.8170806391667393,0.803789871111713
1327,Rhizobium,2,0.09690656355283321,0.06153846153846154,0.18126410288307443,1.8170806391667393,0.803789871111713
1327,Rhizobium,3,0.030053989457785958,0.047619047619047616,0.05978758481650415,1.8170806391667393,0.803789871111713
1327,Rhizobium,4,0.012517064296398431,0.08077080770807708,0.027921577635230826,1.8170806391667393,0.803789871111713
1329,Bosea,0,0.0,0.0,-0.02958774756566418,0.12272403594977616,0.7587781643861865
1329,Bosea,1,1.4306540620215333,0.2,0.14598789297355977,0.12272403594977616,0.7587781643861865
1329,Bosea,2,1.007025400308041,0.02961730449251248,0.09399847386407757,0.12272403594977616,0.7587781643861865
1329,Bosea,3,0.804685934383509,0.015261044176706828,0.0691665579738968,0.12272403594977616,0.7587781643861865
1329,Bosea,4,0.891918994927149,0.11455897980871413,0.07987215123206347,0.12272403594977616,0.7587781643861865
1330,Methylobacterium,0,0.0,0.0,-0.008376120133851781,0.43025606089186785,0.8868437251182233
1330,Methylobacterium,1,0.15315396710384102,0.06896551724137931,0.05751930246220957,0.43025606089186785,0.8868437251182233
1330,Methylobacterium,2,0.08843727085858458,0.009852216748768473,0.029674551661789995,0.43025606089186785,0.8868437251182233
1331,Arthrobacter,0,0.0,0.0,0.01691824885584206,1.1222598269941446,0.9031663256863052
1331,Arthrobacter,1,0.3407014012112534,0.5,0.39927374443584596,1.1222598269941446,0.9031663256863052
1331,Arthrobacter,2,0.28960769170645817,0.2152777777777778,0.34193332684650535,1.1222598269941446,0.9031663256863052
1331,Arthrobacter,3,0.08293161856714715,0.12853135644159486,0.10998907276135302,1.1222598269941446,0.9031663256863052
1331,Arthrobacter,4,0.03394751775579942,0.07932144293951991,0.05501618425934617,1.1222598269941446,0.9031663256863052
1334,Rhodococcus,0,0.0,0.0,0.0013864902282587355,0.855025786510093,0.9636412786700561
1334,Rhodococcus,1,0.2257404109610681,0.2,0.19440036265735758,0.855025786510093,0.9636412786700561
1334,Rhodococcus,2,0.08248689637492762,0.05716573258606886,0.07191491367800776,0.855025786510093,0.9636412786700561
1334,Rhodococcus,3,0.04410833217841452,0.017292377701934016,0.039100251640756055,0.855025786510093,0.9636412786700561
1334,Rhodococcus,4,0.028272980727856733,0.057904525728456294,0.02556061781207914,0.855025786510093,0.9636412786700561
1337,Brevibacillus,0,0.0,0.0,-0.028350992465651273,0.36004043237281613,0.9363260170015064
1337,Brevibacillus,1,0.4870178738543099,0.16,0.14699513341014409,0.36004043237281613,0.9363260170015064
1337,Brevibacillus,2,0.3320139705031887,0.0949005424954792,0.09118746102813222,0.36004043237281613,0.9363260170015064
1337,Brevibacillus,3,0.12865047040233613,0.012744841995299044,0.017968378522972013,0.36004043237281613,0.9363260170015064
1337,Brevibacillus,4,0.17302841167104566,-0.005899172310007534,0.03394623168517363,0.36004043237281613,0.9363260170015064
1338,Paenibacillus,0,0.0,0.0,0.0,31.623924683985813,1.0
1338,Paenibacillus,1,0.0014211967892612143,0.0449438202247191,0.0449438202247191,31.623924683985813,1.0
1336,Marmoricola,0,0.0,0.0,0.0,26.36176645727173,1.0
1336,Marmoricola,1,0.002616118967337092,0.06896551724137931,0.06896551724137931,26.36176645727173,1.0
1538,Bacillus,0,0.0,0.0,-0.04307559835707883,0.3368523874392339,0.9555427371159662
1538,Bacillus,1,1.5843164233848106,0.5,0.4906051713192827,0.3368523874392339,0.9555427371159662
1538,Bacillus,2,0.7871805670951878,0.22114784778540236,0.22208805501470522,0.3368523874392339,0.9555427371159662
